贪心算法：
和抑郁相似的属性：
('p03_0', 0.7362403869628906)   少数民族
('p06_1', 0.6937072277069092)   偶尔吸烟
('p11_4', 0.6934772729873657)   家庭收入10000元以上
('p02_6', 0.6836568713188171)   41-45岁
('p02_5', 0.6832234859466553)   36-40岁
('p02_1', 0.6667337417602539)   20岁以下
('p13_14', 0.6523547768592834)  患有或曾患有糖尿病
('p02_4', 0.6500513553619385)   31-35岁
('p12_14', 0.6468048095703125)  自然流产
('p14_12', 0.6463329195976257)  患有或曾患过病毒性肝炎
和焦虑相似的属性：
('p21_3', 0.7605120539665222)   不确定是否做好为人父母的准备
('p07_22', 0.7464795708656311)  被动吸烟>3小时/天
('p06_21', 0.7322075366973877)  吸烟<10支/天
('p15_1', 0.7086154222488403)   患有或曾患过心理疾患
('p07_21', 0.7020573616027832)  被动吸烟<3小时/天
('p18_2', 0.6767430305480957)   不确定家族中是否患有遗传病
('p14_14', 0.6738759279251099)  患有或曾患过巨细胞病毒
('p12_15', 0.665610671043396)   宫外孕
('p18_13', 0.6640281081199646)  家族中患有先天性智力低下
('p13_13', 0.6621555089950562)  患有或曾患有高血压
和焦虑、抑郁相似的属性：
('p02_6', 0.9288545846939087)   41-45岁
('p06_1', 0.9162092208862305)   偶尔吸烟
('p11_4', 0.9132037162780762)   家庭收入10000元以上
('p21_3', 0.8955879807472229)   不确定是否做好为人父母的准备
('p12_14', 0.8949373960494995)  自然流产
('p24_6', 0.8810064792633057)   怀孕担心宝宝占有自己私人空间
('p12_17', 0.8785097599029541)  死胎死产
('p07_22', 0.8709074258804321)  被动吸烟>3小时/天
('p07_21', 0.8697218298912048)  被动吸烟<3小时/天
('p24_5', 0.8548448085784912)   宝宝影响自己工作和发展
和健康相似的属性：
('p06_0', 0.6936604380607605)   不吸烟
('p10_0', 0.6496188640594482)   无有毒有害物质暴露
('p03_1', 0.6308084726333618)   汉族
('p15_2', 0.6292200088500977)   没有患有或曾患过心理疾患
('p22_2', 0.6137027740478516)   孩子不会影响与爱人的关系
('p16_0', 0.5975053906440735)   目前无服药
('p21_1', 0.5953370332717896)   做好为人父母的准备
('p31_1', 0.5901673436164856)   和睦（与亲友关系）
('p32_1', 0.5890869498252869)   和睦（与同事关系）
('p30_1', 0.5747438669204712)   和睦（与爱人的关系）

